Year_name,,Dummy_elec_supply
2025,1,0.0
2025,2,0.0
2025,3,0.0
2025,4,0.0
2025,5,0.0
2025,6,0.0
2025,7,0.0
2025,8,0.0
2025,9,0.0
2025,10,0.0
2025,11,0.0
2025,12,0.0
2025,13,0.0
2025,14,0.0
2025,15,0.0
2025,16,0.0
2025,17,0.0
2025,18,0.0
2025,19,0.0
2025,20,0.0
2025,21,0.0
2025,22,0.0
2025,23,0.0
2025,24,0.0
2025,25,0.0
2025,26,0.0
2025,27,0.0
2025,28,0.0
2025,29,0.0
2025,30,0.0
2025,31,0.0
2025,32,0.0
2025,33,0.0
2025,34,0.0
2025,35,0.0
2025,36,0.0
2025,37,0.0
2025,38,0.0
2025,39,0.0
2025,40,0.0
2025,41,0.0
2025,42,0.0
2025,43,0.0
2025,44,0.0
2025,45,0.0
2025,46,0.0
2025,47,0.0
2025,48,0.0
2025,49,0.0
2025,50,0.0
2025,51,0.0
2025,52,0.0
2025,53,0.0
2025,54,0.0
2025,55,0.0
2025,56,0.0
2025,57,0.0
2025,58,0.0
2025,59,0.0
2025,60,0.0
2025,61,0.0
2025,62,0.0
2025,63,0.0
2025,64,0.0
2025,65,0.0
2025,66,0.0
2025,67,0.0
2025,68,0.0
2025,69,0.0
2025,70,0.0
2025,71,0.0
2025,72,0.0
2025,73,0.0
2025,74,0.0
2025,75,0.0
2025,76,0.0
2025,77,0.0
2025,78,0.0
2025,79,0.0
2025,80,0.0
2025,81,0.0
2025,82,0.0
2025,83,0.0
2025,84,0.0
2025,85,0.0
2025,86,0.0
2025,87,0.0
2025,88,0.0
2025,89,0.0
2025,90,0.0
2025,91,0.0
2025,92,0.0
2025,93,0.0
2025,94,0.0
2025,95,0.0
2025,96,0.0
2025,97,0.0
2025,98,0.0
2025,99,0.0
2025,100,0.0
2025,101,0.0
2025,102,0.0
2025,103,0.0
2025,104,0.0
2025,105,0.0
2025,106,0.0
2025,107,0.0
2025,108,0.0
2025,109,0.0
2025,110,0.0
2025,111,0.0
2025,112,0.0
2025,113,0.0
2025,114,0.0
2025,115,0.0
2025,116,0.0
2025,117,0.0
2025,118,0.0
2025,119,0.0
2025,120,0.0
2025,121,0.0
2025,122,0.0
2025,123,0.0
2025,124,0.0
2025,125,0.0
2025,126,0.0
2025,127,0.0
2025,128,0.0
2025,129,0.0
2025,130,0.0
2025,131,0.0
2025,132,0.0
2025,133,0.0
2025,134,0.0
2025,135,0.0
2025,136,0.0
2025,137,0.0
2025,138,0.0
2025,139,0.0
2025,140,0.0
2025,141,0.0
2025,142,0.0
2025,143,0.0
2025,144,0.0
2025,145,0.0
2025,146,0.0
2025,147,0.0
2025,148,0.0
2025,149,0.0
2025,150,0.0
2025,151,0.0
2025,152,0.0
2025,153,0.0
2025,154,0.0
2025,155,0.0
2025,156,0.0
2025,157,0.0
2025,158,0.0
2025,159,0.0
2025,160,0.0
2025,161,0.0
2025,162,0.0
2025,163,0.0
2025,164,0.0
2025,165,0.0
2025,166,0.0
2025,167,0.0
2025,168,0.0
2025,169,0.0
2025,170,0.0
2025,171,0.0
2025,172,0.0
2025,173,0.0
2025,174,0.0
2025,175,0.0
2025,176,0.0
2025,177,0.0
2025,178,0.0
2025,179,0.0
2025,180,0.0
2025,181,0.0
2025,182,0.0
2025,183,0.0
2025,184,0.0
2025,185,0.0
2025,186,0.0
2025,187,0.0
2025,188,0.0
2025,189,0.0
2025,190,0.0
2025,191,0.0
2025,192,0.0
2025,193,0.0
2025,194,0.0
2025,195,0.0
2025,196,0.0
2025,197,0.0
2025,198,0.0
2025,199,0.0
2025,200,0.0
2025,201,0.0
2025,202,0.0
2025,203,0.0
2025,204,0.0
2025,205,0.0
2025,206,0.0
2025,207,0.0
2025,208,0.0
2025,209,0.0
2025,210,0.0
2025,211,0.0
2025,212,0.0
2025,213,0.0
2025,214,0.0
2025,215,0.0
2025,216,0.0
2025,217,0.0
2025,218,0.0
2025,219,0.0
2025,220,0.0
2025,221,0.0
2025,222,0.0
2025,223,0.0
2025,224,0.0
2025,225,0.0
2025,226,0.0
2025,227,0.0
2025,228,0.0
2025,229,0.0
2025,230,0.0
2025,231,0.0
2025,232,0.0
2025,233,0.0
2025,234,0.0
2025,235,0.0
2025,236,0.0
2025,237,0.0
2025,238,0.0
2025,239,0.0
2025,240,0.0
2025,241,0.0
2025,242,0.0
2025,243,0.0
2025,244,0.0
2025,245,0.0
2025,246,0.0
2025,247,0.0
2025,248,0.0
2025,249,0.0
2025,250,0.0
2025,251,0.0
2025,252,0.0
2025,253,0.0
2025,254,0.0
2025,255,0.0
2025,256,0.0
2025,257,0.0
2025,258,0.0
2025,259,0.0
2025,260,0.0
2025,261,0.0
2025,262,0.0
2025,263,0.0
2025,264,0.0
2025,265,0.0
2025,266,0.0
2025,267,0.0
2025,268,0.0
2025,269,0.0
2025,270,0.0
2025,271,0.0
2025,272,0.0
2025,273,0.0
2025,274,0.0
2025,275,0.0
2025,276,0.0
2025,277,0.0
2025,278,0.0
2025,279,0.0
2025,280,0.0
2025,281,0.0
2025,282,0.0
2025,283,0.0
2025,284,0.0
2025,285,0.0
2025,286,0.0
2025,287,0.0
2025,288,0.0
2025,289,0.0
2025,290,0.0
2025,291,0.0
2025,292,0.0
2025,293,0.0
2025,294,0.0
2025,295,0.0
2025,296,0.0
2025,297,0.0
2025,298,0.0
2025,299,0.0
2025,300,0.0
2025,301,0.0
2025,302,0.0
2025,303,0.0
2025,304,0.0
2025,305,0.0
2025,306,0.0
2025,307,0.0
2025,308,0.0
2025,309,0.0
2025,310,0.0
2025,311,0.0
2025,312,0.0
2025,313,0.0
2025,314,0.0
2025,315,0.0
2025,316,0.0
2025,317,0.0
2025,318,0.0
2025,319,0.0
2025,320,0.0
2025,321,0.0
2025,322,0.0
2025,323,0.0
2025,324,0.0
2025,325,0.0
2025,326,0.0
2025,327,0.0
2025,328,0.0
2025,329,0.0
2025,330,0.0
2025,331,0.0
2025,332,0.0
2025,333,0.0
2025,334,0.0
2025,335,0.0
2025,336,0.0
2025,337,0.0
2025,338,0.0
2025,339,0.0
2025,340,0.0
2025,341,0.0
2025,342,0.0
2025,343,0.0
2025,344,0.0
2025,345,0.0
2025,346,0.0
2025,347,0.0
2025,348,0.0
2025,349,0.0
2025,350,0.0
2025,351,0.0
2025,352,0.0
2025,353,0.0
2025,354,0.0
2025,355,0.0
2025,356,0.0
2025,357,0.0
2025,358,0.0
2025,359,0.0
